,Weight,Casual,Gaming,ThinNlight
82,Casual,1.0,0.0,0.0
83,Casual,1.0,0.0,0.0
84,Casual,1.0,0.0,0.0
85,ThinNlight,0.0,0.0,1.0
86,ThinNlight,0.0,0.0,1.0
87,Casual,1.0,0.0,0.0
88,Casual,1.0,0.0,0.0
89,Casual,1.0,0.0,0.0
90,Casual,1.0,0.0,0.0
91,Casual,1.0,0.0,0.0
92,ThinNlight,0.0,0.0,1.0
93,ThinNlight,0.0,0.0,1.0
94,ThinNlight,0.0,0.0,1.0
95,ThinNlight,0.0,0.0,1.0
96,ThinNlight,0.0,0.0,1.0
97,ThinNlight,0.0,0.0,1.0
98,Casual,1.0,0.0,0.0
99,ThinNlight,0.0,0.0,1.0
100,ThinNlight,0.0,0.0,1.0
101,ThinNlight,0.0,0.0,1.0
102,Casual,1.0,0.0,0.0
103,Casual,1.0,0.0,0.0
104,ThinNlight,0.0,0.0,1.0
105,Casual,1.0,0.0,0.0
106,Casual,1.0,0.0,0.0
107,Casual,1.0,0.0,0.0
108,ThinNlight,0.0,0.0,1.0
109,ThinNlight,0.0,0.0,1.0
110,ThinNlight,0.0,0.0,1.0
111,ThinNlight,0.0,0.0,1.0
112,ThinNlight,0.0,0.0,1.0
113,Casual,1.0,0.0,0.0
114,Casual,1.0,0.0,0.0
115,Casual,1.0,0.0,0.0
116,ThinNlight,0.0,0.0,1.0
117,Casual,1.0,0.0,0.0
118,ThinNlight,0.0,0.0,1.0
119,Casual,1.0,0.0,0.0
120,Casual,1.0,0.0,0.0
121,ThinNlight,0.0,0.0,1.0
122,ThinNlight,0.0,0.0,1.0
123,Casual,1.0,0.0,0.0
124,Casual,1.0,0.0,0.0
125,ThinNlight,0.0,0.0,1.0
126,Casual,1.0,0.0,0.0
127,Casual,1.0,0.0,0.0
128,ThinNlight,0.0,0.0,1.0
129,ThinNlight,0.0,0.0,1.0
130,ThinNlight,0.0,0.0,1.0
131,ThinNlight,0.0,0.0,1.0
132,ThinNlight,0.0,0.0,1.0
133,Casual,1.0,0.0,0.0
134,Casual,1.0,0.0,0.0
135,Casual,1.0,0.0,0.0
